irn,leaid,district,fb_create_date,fb_create_month,fb_create_year,
49759,3910004,"Anna Local SD, Shelby",0,0,0,
47415,3910002,"Arcadia Local SD, Hancock",0,0,0,
43505,3904350,"Ashland City SD, Ashland",0,0,0,
45765,3904576,"Bath Local SD, Allen",0,0,0,
43596,3904359,"Bellevue City SD, Huron",0,0,0,
43612,3904360,"Berea City SD, Cuyahoga",0,0,0,
47167,3904716,"Berkshire Local SD, Geauga",0,0,0,
48462,3904846,"Black River Local SD, Medina",0,0,0,
49767,3904976,"Botkins Local SD, Shelby",0,0,0,
45237,3904523,"Bridgeport Ex Vill SD, Belmont",0,0,0,
50112,3905011,"Bristol Local SD, Trumbull",0,0,0,
46177,3904617,"Brown Local SD, Carroll",0,0,0,
47787,3904778,"Buckeye Local SD, Jefferson",0,0,0,
47258,3904725,"Cedar Cliff Local SD, Greene",0,0,0,
46284,3904628,"Clark-Shawnee Local SD, Clark",0,0,0,
48140,3904814,"Columbia Local SD, Lorain",0,0,0,
43810,3904381,"Conneaut Area City SD, Ashtabula",0,0,0,
49320,3904932,"Continental Local SD, Putnam",0,0,0,
43885,3904388,"Delphos City SD, Allen",0,0,0,
46409,3904640,"East Clinton Local SD, Clinton",0,0,0,
46094,3904609,"Edgewood City SD, Butler",0,0,0,
47795,3904779,"Edison Local SD, Jefferson",0,0,0,
49775,3904977,"Fairlawn Local SD, Shelby",0,0,0,
45369,3904536,"Fairport Harbor Ex Vill SD, Lake",0,0,0,
46649,3904664,"Franklin-Monroe Local SD, Darke",0,0,0,
45385,3904538,"Gibsonburg Ex Vill SD, Sandusky",0,0,0,
45864,3904586,"Grand Valley Local SD, Ashtabula",0,0,0,
44073,3904407,"Grandview Heights City SD, Franklin",0,0,0,
46979,3904697,"Groveport Madison Local SD, Franklin",0,0,0,
45419,3904541,"Hicksville Ex Vill SD, Defiance",0,0,0,
47571,3904757,"Holgate Local SD, Henry",0,0,0,
49700,3904970,"Hopewell-Loudon Local SD, Seneca",0,0,0,
49858,3904985,"Jackson Local SD, Stark",0,0,0,
45872,3904587,"Jefferson Area Local SD, Ashtabula",0,0,0,
50179,3905017,"Joseph Badger Local SD, Trumbull",0,0,0,
48165,3904816,"Keystone Local SD, Lorain",0,0,0,
47878,3904787,"Kirtland Local SD, Lake",0,0,0,
50443,3905044,"Little Miami Local SD, Warren",0,0,0,
49080,3904908,"Logan Elm Local SD, Pickaway",0,0,0,
50005,3905000,"Manchester Local SD, Summit",0,0,0,
48553,3910031,"Marion Local SD, Mercer",0,0,0,
45476,3904547,"Marysville Ex Vill SD, Union",0,0,0,
45948,3904594,"Minster Local SD, Auglaize",0,0,0,
46672,3904667,"Mississinawa Valley Local SD, Darke",0,0,0,
50039,3905003,"Mogadore Local SD, Summit",0,0,0,
45534,3904553,"Mount Gilead Ex Vill SD, Morrow",0,0,0,
48710,3904871,"New Lebanon Local SD, Montgomery",0,0,0,
44479,3904447,"New Lexington City SD, Perry",0,0,0,
47217,3904721,"Newbury Local SD, Geauga",0,0,0,
45542,3904554,"Newcomerstown Ex Vill SD, Tuscarawas",0,0,0,
48637,3904863,"Newton Local SD, Miami",0,0,0,
50336,3905033,"North Union Local SD, Union",0,0,0,
49635,3904963,"Northwest Local SD, Scioto",0,0,0,
49908,3904990,"Northwest Local SD, Stark",0,0,0,
44560,3904456,"Norwalk City SD, Huron",0,0,0,
50567,3905056,"Norwayne Local SD, Wayne",0,0,0,
49916,3904991,"Osnaburg Local SD, Stark",0,0,0,
48579,3904857,"Parkway Local SD, Mercer",0,0,0,
44636,3904463,"Parma City SD, Cuyahoga",0,0,0,
45583,3904558,"Perrysburg Ex Vill SD, Wood",0,0,0,
44743,3904474,"Sandusky City SD, Erie",0,0,0,
46003,3904600,"Shadyside Local SD, Belmont",0,0,0,
44768,3904476,"Sheffield-Sheffield Lake Cit, Lorain",0,0,0,
44776,3910009,"Shelby City SD, Richland",0,0,0,
49221,3904922,"Southeast Local SD, Portage",0,0,0,
46276,3904627,"Southeastern Local SD, Clark",0,0,0,
46441,3904644,"Southern Local SD, Columbiana",0,0,0,
50237,3905023,"Southington Local SD, Trumbull",0,0,0,
48223,3904822,"Springfield Local SD, Lucas",0,0,0,
44719,3904471,"St Bernard-Elmwood Place Cit, Hamilton",0,0,0,
48587,3904858,"St Henry Consolidated Local, Mercer",0,0,0,
44842,3904484,"Strongsville City SD, Cuyahoga",0,0,0,
44891,3904489,"Tiffin City SD, Seneca",0,0,0,
50591,3905059,"Triway Local SD, Wayne",0,0,0,
49296,3904900,"Twin Valley Community Local, Preble",0,0,0,
46458,3904645,"United Local SD, Columbiana",0,0,0,
47522,3904752,"Upper Scioto Valley Local SD, Hardin",0,0,0,
44941,3904494,"Urbana City SD, Champaign",0,0,0,
49247,3904924,"Waterloo Local SD, Portage",0,0,0,
47225,3904722,"West Geauga Local SD, Geauga",0,0,0,
48397,3904839,"Western Reserve Local SD, Mahoning",0,0,0,
45070,3904507,"Whitehall City SD, Franklin",0,0,0,
45088,3904508,"Wickliffe City SD, Lake",0,0,0,
45096,3904509,"Willard City SD, Huron",0,0,0,
45666,3904566,"Windham Ex Vill SD, Portage",0,0,0,
45153,3904515,"Xenia Community City SD, Greene",0,0,0,
43752,3904375,"Cincinnati City SD, Hamilton",3,9,2009,
48488,3904848,"Cloverleaf Local SD, Medina",10,8,2009,
50351,3905035,"Crestview Local SD, Van Wert",10,8,2009,
43877,3904387,"Delaware City SD, Delaware",11,9,2009,
43943,3904394,"Elyria City SD, Lorain",10,9,2009,
45427,3904542,"Hubbard Ex Vill SD, Trumbull",21,10,2009,
47886,3904788,"Madison Local SD, Lake",17,3,2009,
44313,3904431,"Mariemont City SD, Hamilton",1,12,2009,
44404,3904440,"Middletown City SD, Butler",16,11,2009,
48447,3904844,"River Valley Local SD, Marion",2,9,2009,
44800,3904480,"South-Western City SD, Franklin",29,9,2009,
48371,3904837,"Springfield Local SD, Mahoning",3,12,2009,
49536,3904953,"Union Scioto Local SD, Ross",9,10,2009,
45047,3904504,"Westerville City SD, Franklin",15,5,2009,
46524,3904652,"Wynford Local SD, Crawford",11,11,2009,
43497,3904349,"Alliance City SD, Stark",27,3,2010,
46623,3904662,"Ansonia Local SD, Darke",1,5,2010,
46706,3904670,"Ayersville Local SD, Defiance",15,11,2010,
46300,3904630,"Batavia Local SD, Clermont",10,10,2010,
43554,3904355,"Beachwood City SD, Cuyahoga",17,7,2010,
47241,3904724,"Beavercreek City SD, Greene",27,3,2010,
43562,3910017,"Bedford City SD, Cuyahoga",16,8,2010,
48926,3904892,"Benton Carroll Salem Local S, Ottawa",27,3,2010,
45211,3904521,"Bluffton Ex Vill SD, Allen",27,3,2010,
45856,3904585,"Buckeye Local SD, Ashtabula",17,10,2010,
45260,3904526,"Carey Ex Vill SD, Wyandot",27,3,2010,
43745,3904374,"Chillicothe City SD, Ross",27,4,2010,
48934,3904893,"Danbury Local SD, Ottawa",27,3,2010,
47837,3904783,"Danville Local SD, Knox",30,9,2010,
47845,3910013,"East Knox Local SD, Knox",21,6,2010,
48835,3904883,"East Muskingum Local SD, Muskingum",16,10,2010,
50674,3905067,"Eastwood Local SD, Wood",27,3,2010,
45773,3904577,"Elida Local SD, Allen",20,1,2010,
50682,3905068,"Elmwood Local SD, Wood",27,3,2010,
