obs_id,month,year,district,IRN,leaid,county,purpose,for,against,mills_pct,years,amount,new,type
1,3,2012,Alliance City,43497,3904349,Stark,Permanent Improvements,1388,820,2,5,,Renewal,levy
2,3,2012,Ashtabula Area City,43513,3904351,Ashtabula,Emergency Operating,2297,2807,6.8,5,,New,levy
3,3,2012,Berea City,43612,3904360,Cuyahoga,Operating Expenses,7946,6482,3.9,C,,New,levy
4,3,2012,Bowling Green City,43638,3904363,Wood,Income Tax,3901,2254,0.5,5,,Renewal,income tax
5,3,2012,Brunswick City,43661,3904366,Medina,Emergency Operating,5455,3915,2.1,8,,Renewal,levy
6,3,2012,Bryan City,43679,3904367,Williams,Permanent Improvements,1627,2134,3.9,28,17408123,New,levy
7,3,2012,Cambridge City,43695,3904369,Guernsey,Emergency Operating with Increase,1434,1685,6.39,5,,Renewal,levy
8,3,2012,Cuyahoga Falls City,43836,3904383,Summit,Current Expenses,4319,2568,4.75,5,,Renewal,levy
9,3,2012,Defiance City,43869,3904386,Defiance,Emergency Operating,1895,1177,6.38,5,,Renewal,levy
10,3,2012,Delphos City,43885,3904388,Allen,Operating Expenses,1593,813,5.5,5,,Renewal,levy
11,3,2012,Fairborn City,43968,3904396,Greene,Emergency Operating,3953,2834,8.4,5,,Renewal,levy
12,3,2012,Findlay City,43984,3910000,Hancock,Current Expenses,5241,2522,4.9,5,,Renewal,levy
13,3,2012,Garfield Heights City,44040,3904404,Cuyahoga,Emergency Operating,3088,2923,9.4,5,,New,levy
14,3,2012,Greenville City,44099,3904409,Darke,Emergency Operating,3127,2442,4.15,10,,Renewal,levy
15,3,2012,Kettering City,44180,3904418,Montgomery,Current Expenses,7049,4872,4.9,C,,Renewal,levy
16,3,2012,Lancaster City,44206,3904420,Fairfield,Bond Issue and Tax Levy,5273,5233,3.6,37,61550000,New,combo
17,3,2012,Lima City,44222,3904422,Allen,Permanent Improvements and Operating Expenses,1956,2069,5.99,5,,New,levy
18,3,2012,London City,44255,3904425,Madison,Emergency Operating,1406,2096,8.33,5,,New,levy
19,3,2012,3ietta City,44321,3910019,Washington,Permanent Improvements,2640,2267,2.955,,,Renewal,levy
20,3,2012,3ietta City,44321,3910019,Washington,Current Expenses,2572,2338,8.5,5,,Renewal,levy
21,3,2012,5field City,44370,3904437,Cuyahoga,Operating Expenses and Permanent Improvement,4517,4025,5.4,C,,New,levy
22,3,2012,Mount Healthy City,44412,3904441,Hamilton,Current Expenses,1667,2675,7.65,C,,New,levy
23,3,2012,Napoleon Area City,44438,3904443,Henry, Permanent Improvements,1846,1798,5.85,37,31500000,New,levy
24,3,2012,Napoleon Area City,44438,3904443,Henry,Income Tax,1723,2009,0.25,5,,New,income tax
25,3,2012,Niles City,44495,3904449,Trumbull,Emergency Operating,1956,1516,4.65,10,,Renewal,levy
26,3,2012,Norwalk City,44560,3904456,Huron,Emergency Operating,1300,1909,6,5,,New,levy
27,3,2012,Oakwood City,44586,3904458,Montgomery,Permanent Improvements,1573,614,1.8,5,,Renewal,levy
28,3,2012,Parma City,44636,3904463,Cuyahoga,Emergency Operating,13400,11088,3.8,5,,New,levy
29,3,2012,Princeton City,44677,3904467,Hamilton,Current Expenses,6064,4068,6.5,C,,New,levy
